City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mitsamiouli,-11.3847,43.2844,27.06,71,77,1.29,KM,1673898419
84,ayan,56.45,138.1667,-35.41,76,49,4.01,RU,1673898420
85,saint george,37.1041,-113.5841,8.47,83,100,5.66,US,1673898420
86,codrington,-38.2667,141.9667,18.43,43,11,3.72,AU,1673898421
87,clyde river,70.4692,-68.5914,-19.87,77,100,9.77,CA,1673898168
88,sinnamary,5.3833,-52.95,25.36,84,47,4.23,GF,1673898288
89,shatrovo,56.5167,64.6333,-13.56,88,26,3.41,RU,1673898423
90,queanbeyan,-35.35,149.2333,15.79,93,78,2.06,AU,1673898425
91,lebu,-37.6167,-73.65,16.4,69,7,6.47,CL,1673898426
92,saskylakh,71.9167,114.0833,-35.75,100,70,2.92,RU,1673898427
93,isangel,-19.55,169.2667,22.06,88,67,1.54,VU,1673898427
94,mar del plata,-38.0023,-57.5575,25.46,82,20,5.66,AR,1673898146
95,saint andrews,34.0454,-81.1293,17.03,26,75,2.06,US,1673898226
96,carauari,-4.8828,-66.8958,24.87,88,100,1.03,BR,1673898429
97,rikitea,-23.1203,-134.9692,25.16,71,9,3.71,PF,1673898420
98,tallahassee,30.4383,-84.2807,19.44,32,0,2.57,US,1673897869
99,rafai,4.95,23.9167,24.49,31,99,1.5,CF,1673898430
100,pangody,65.85,74.4859,-24.8,97,90,3.5,RU,1673898430
101,mehamn,71.0357,27.8492,-0.05,88,100,5.15,NO,1673898431
102,ironton,38.5368,-82.6829,9.53,54,0,3.09,US,1673898432
103,hobart,-42.8794,147.3294,14.92,77,75,3.6,AU,1673898432
104,provideniya,64.3833,-173.3,-18.92,78,100,8.35,RU,1673898433
105,kalmunai,7.4167,81.8167,24.1,89,59,3.25,LK,1673898188
106,dondo,-19.6094,34.7431,25.73,85,100,2.13,MZ,1673898434
107,ahipara,-35.1667,173.1667,17.94,76,3,2.93,NZ,1673898434
108,dunmore east,52.1514,-6.9861,2.05,70,100,3.12,IE,1673898435
109,collie,-33.3667,116.15,6.59,85,0,2.17,AU,1673898436
110,georgetown,5.4112,100.3354,25.96,86,20,2.24,MY,1673898151
111,faanui,-16.4833,-151.75,26.26,63,92,6.01,PF,1673898436
112,lompoc,34.6391,-120.4579,13.62,86,75,5.66,US,1673898437
113,saint-philippe,-21.3585,55.7679,25.77,81,19,4.94,RE,1673898438
114,pangai,-19.8,-174.35,26.06,83,75,1.03,TO,1673898439
115,gradinari,44.3922,25.8156,6.52,79,100,2.02,RO,1673898439
116,disna,55.568,28.1971,0.1,92,100,3.93,BY,1673898440
117,severnoye,56.3491,78.3619,-9.96,94,99,4.5,RU,1673898440
118,serenje,-13.2325,30.2352,16.97,98,100,1.37,ZM,1673898441
119,kruisfontein,-34.0033,24.7314,22.16,91,100,5.55,ZA,1673898442
120,talnakh,69.4865,88.3972,-37.29,86,3,1.94,RU,1673898443
121,warrington,53.3925,-2.5802,1.66,89,40,1.03,GB,1673898443
122,san carlos de bariloche,-41.1456,-71.3082,25.86,8,0,5.14,AR,1673898444
123,husavik,66.0449,-17.3389,-2.26,96,100,7.88,IS,1673898445
124,phuket,8.0,98.25,22.12,88,20,0.0,TH,1673898445
125,upington,-28.4478,21.2561,34.21,18,38,2.57,ZA,1673898446
